primary_description,_source_sheet,_source_row_number,Name/Desc of Feature/Bug/Idea/Wish List Item,Related Feature/Section/Category,Source Document Name: Section/Topic,High-Level Category,Source Document Name & Date: Section/Topic,Source Documen & Section/Topic,Source Document & Section/Topic/Slide,Source Document & Section,Scope,Priority,Status,Category,Source,Name/Desc,Item / Description,Source (Date/Document),Name/Description,Related Feature/Section,User/Project Management,Item / Feature / Idea / Bug,Source Context/Date,Item/Feature,Description/Status/Notes,Source Context,Feature/Bug/Idea/Wish List Item,Source Document(s)
Expose info about which model and when for each “machine ID”,Wallingford 2023 TODO list,26,Expose info about which model and when for each “machine ID”,Data Management/Metadata,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 14",,,,,,,,,,,,,,,,,,,,,
Data connector tool,Wallingford 2023 TODO list,27,Data connector tool,Data Integration/Ingestion,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 12",,,,,,,,,,,,,,,,,,,,,
Developing new UI components (new scrolling timeline),Wallingford 2023 TODO list,28,Developing new UI components (new scrolling timeline),UI/Development,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 12",,,,,,,,,,,,,,,,,,,,,
"Stats, metrics & charts for validation, quality control and improving models",Wallingford 2023 TODO list,29,"Stats, metrics & charts for validation, quality control and improving models",UI/Reporting,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 12",,,,,,,,,,,,,,,,,,,,,
Additional ML backends,Wallingford 2023 TODO list,30,Additional ML backends,ML Backend,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 12",,,,,,,,,,,,,,,,,,,,,
Create logic diagrams for new & existing features,Wallingford 2023 TODO list,31,Create logic diagrams for new & existing features,Documentation/Planning,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 12",,,,,,,,,,,,,,,,,,,,,
Add panama trap IDs,Wallingford 2023 TODO list,32,Add panama trap IDs,Data Management,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 16",,,,,,,,,,,,,,,,,,,,,
Show “Num Captures” column under deployments.,Wallingford 2023 TODO list,33,Show “Num Captures” column under deployments.,UI/Display,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 16",,,,,,,,,,,,,,,,,,,,,
Speed up deployments list?,Wallingford 2023 TODO list,34,Speed up deployments list?,Bug/Performance,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 16",,,,,,,,,,,,,,,,,,,,,
Add megadector-> butterflies example.,Wallingford 2023 TODO list,35,Add megadector-> butterflies example.,Documentation/Demo,,Task/To-Do/Wish List,"AMI Platform Presentation - Dec 7, 2023: Slide 16",,,,,,,,,,,,,,,,,,,,,
Notifications,Alignment meetings slidedeck,1,Notifications,Orchestration/User Interface,,,,"Alignment Meetings: November 2025, Antenna is an orchestrator",,,,,,,,,,,,,,,,,,,,
Online/Offline functionality,Alignment meetings slidedeck,2,Online/Offline functionality,Deployment/Platform Access,,,,"Alignment Meetings: November 2025, Antenna is an orchestrator",,,,,,,,,,,,,,,,,,,,
Top species chart to overview page,Alignment meetings slidedeck,3,Top species chart to overview page,Data Analysis/User Interface,,,,"Alignment Meetings: Canadian forest pests pipeline, Known tasks for for us",,,,,,,,,,,,,,,,,,,,
Taxa list of support (makes it possible to filter on species of concern),Alignment meetings slidedeck,4,Taxa list of support (makes it possible to filter on species of concern),Data Filtering/Taxonomy,,,,"Alignment Meetings: Canadian forest pests pipeline, Known tasks for for us",,,,,,,,,,,,,,,,,,,,
Import the full list of species of concern,Alignment meetings slidedeck,5,Import the full list of species of concern,Data/Taxonomy,,,,"Alignment Meetings: Canadian forest pests pipeline, Not started",,,,,,,,,,,,,,,,,,,,
Feature for masking predictions to a species list (as an alternative to a regional model),Alignment meetings slidedeck,6,Feature for masking predictions to a species list (as an alternative to a regional model),Prediction/Machine Learning,,,,"Alignment Meetings: Canadian forest pests pipeline, Not started",,,,,,,,,,,,,,,,,,,,
Flight charts for taxa & taxa lists,Alignment meetings slidedeck,7,Flight charts for taxa & taxa lists,Data Analysis/User Interface,,,,"Alignment Meetings: Canadian forest pests pipeline, Not started",,,,,,,,,,,,,,,,,,,,
Corrected species list for Panama (mainly for identification of processed data),Alignment meetings slidedeck,8,Corrected species list for Panama (mainly for identification of processed data),Data/Taxonomy,,,,"Alignment Meetings: Panama projects, Known tasks for us",,,,,,,,,,,,,,,,,,,,
New model for Panama (current models include P. interpunctella and v2 has a short species list),Alignment meetings slidedeck,9,New model for Panama (current models include P. interpunctella and v2 has a short species list),Machine Learning,,,,"Alignment Meetings: Panama projects, Known tasks for us",,,,,,,,,,,,,,,,,,,,
"Panama plus model? Needs review, uses a different species list.",Alignment meetings slidedeck,10,"Panama plus model? Needs review, uses a different species list.",Machine Learning,,,,"Alignment Meetings: Panama projects, Known tasks for us",,,,,,,,,,,,,,,,,,,,
Class masking of one of the existing models,Alignment meetings slidedeck,11,Class masking of one of the existing models,Prediction/Machine Learning,,,,"Alignment Meetings: Panama projects, Known tasks for us",,,,,,,,,,,,,,,,,,,,
Processing all data once model is ready & agreed on,Alignment meetings slidedeck,12,Processing all data once model is ready & agreed on,Data Processing,,,,"Alignment Meetings: Panama projects, Known tasks for us",,,,,,,,,,,,,,,,,,,,
"Help organizing & auditing the panama BCI projects (Which project has which cameras, which images synced, which projects are experiments & ongoing)",Alignment meetings slidedeck,13,"Help organizing & auditing the panama BCI projects (Which project has which cameras, which images synced, which projects are experiments & ongoing)",Project Management/Data Management,,,,"Alignment Meetings: Panama projects, Known tasks for us",,,,,,,,,,,,,,,,,,,,
Deploy some of Kat’s models to a server,Alignment meetings slidedeck,14,Deploy some of Kat’s models to a server,Machine Learning/Deployment,,,,"Alignment Meetings: AMBER data labeling, Known tasks for for us",,,,,,,,,,,,,,,,,,,,
Help with processing of samples (since the feature is not stable enough yet),Alignment meetings slidedeck,15,Help with processing of samples (since the feature is not stable enough yet),Data Processing/Stability,,,,"Alignment Meetings: AMBER data labeling, Known tasks for for us",,,,,,,,,,,,,,,,,,,,
Extend the list of species if needed for labellers?,Alignment meetings slidedeck,16,Extend the list of species if needed for labellers?,Taxonomy/Data Labeling,,,,"Alignment Meetings: AMBER data labeling, Known tasks for for us",,,,,,,,,,,,,,,,,,,,
Setting some projects to drafts,Alignment meetings slidedeck,17,Setting some projects to drafts,Project Management,,,,"Alignment Meetings: Suggestions for partner management, Short term actions",,,,,,,,,,,,,,,,,,,,
Adding clear description to each project,Alignment meetings slidedeck,18,Adding clear description to each project,Project Management,,,,"Alignment Meetings: Suggestions for partner management, Short term actions",,,,,,,,,,,,,,,,,,,,
Make it clear who contacts are for each project (the initiator and the hands-on/technical contacts),Alignment meetings slidedeck,19,Make it clear who contacts are for each project (the initiator and the hands-on/technical contacts),Project Management/Communication,,,,"Alignment Meetings: Suggestions for partner management, Short term actions",,,,,,,,,,,,,,,,,,,,
Assigning someone from Antenna to be the main contact for each project,Alignment meetings slidedeck,20,Assigning someone from Antenna to be the main contact for each project,Project Management,,,,"Alignment Meetings: Suggestions for partner management, Short term actions",,,,,,,,,,,,,,,,,,,,
"Enforcing the use of the antenna email, and add relevant people as recipients",Alignment meetings slidedeck,21,"Enforcing the use of the antenna email, and add relevant people as recipients",Communication,,,,"Alignment Meetings: Suggestions for partner management, Short term actions",,,,,,,,,,,,,,,,,,,,
Continuing to make tickets in ami-admin repo and track ongoing projects,Alignment meetings slidedeck,22,Continuing to make tickets in ami-admin repo and track ongoing projects,Project Management/Tracking,,,,"Alignment Meetings: Suggestions for partner management, Short term actions",,,,,,,,,,,,,,,,,,,,
Regular call for all partners using Antenna,Alignment meetings slidedeck,23,Regular call for all partners using Antenna,Communication,,,,"Alignment Meetings: Suggestions for partner management, Short term actions",,,,,,,,,,,,,,,,,,,,
Sending out a form to be filled out before each meeting (How are things going for you in respect to Antenna right now? What is holding you back? What should we prioritize?),Alignment meetings slidedeck,24,Sending out a form to be filled out before each meeting (How are things going for you in respect to Antenna right now? What is holding you back? What should we prioritize?),Communication/Feedback,,,,"Alignment Meetings: Suggestions for partner management, Short term actions",,,,,,,,,,,,,,,,,,,,
Find project & partner manager for Antenna,Alignment meetings slidedeck,25,Find project & partner manager for Antenna,Personnel/Management,,,,"Alignment Meetings: Suggestions for partner management, Future",,,,,,,,,,,,,,,,,,,,
Complete documentation & improving self-service,Alignment meetings slidedeck,26,Complete documentation & improving self-service,Documentation/User Support,,,,"Alignment Meetings: Suggestions for partner management, Future",,,,,,,,,,,,,,,,,,,,
Training others to respond to partners,Alignment meetings slidedeck,27,Training others to respond to partners,Personnel/Training,,,,"Alignment Meetings: Suggestions for partner management, Future",,,,,,,,,,,,,,,,,,,,
Find intern and train on basic tasks,Alignment meetings slidedeck,28,Find intern and train on basic tasks,Personnel/Training,,,,"Alignment Meetings: Suggestions for partner management, Future",,,,,,,,,,,,,,,,,,,,
"Training sessions for our own staff (Taxonomy work, Calendar scheduling & communication, Using the Antenna interface, understand the data schema, Using the Django admin, Understanding of Academic domain)",Alignment meetings slidedeck,29,"Training sessions for our own staff (Taxonomy work, Calendar scheduling & communication, Using the Antenna interface, understand the data schema, Using the Django admin, Understanding of Academic domain)",Personnel/Training,,,,"Alignment Meetings: Suggestions for partner management, Future",,,,,,,,,,,,,,,,,,,,
Data Exports (Yves needed for writing grant),Alignment meetings slidedeck,30,Data Exports (Yves needed for writing grant),Data Management,,,,"Alignment Meetings: Collaborating, Successful features",,,,,,,,,,,,,,,,,,,,
"Michael onboarded Tessa to the data companion code and she has committed several enhancements, including a fix to a long-outstanding issue related to too many DB connections.",Alignment meetings slidedeck,31,"Michael onboarded Tessa to the data companion code and she has committed several enhancements, including a fix to a long-outstanding issue related to too many DB connections.",Development/Bugs,,,,"Alignment Meetings: Collaborating, Successful features",,,,,,,,,,,,,,,,,,,,
Help renaming files from new camera,Alignment meetings slidedeck,32,Help renaming files from new camera,Data Management/Gaspésie Summits,,,,"Alignment Meetings: Gaspésie Summits, Unexpected tasks",,,,,,,,,,,,,,,,,,,,
Data uploader,Alignment meetings slidedeck,33,Data uploader,Data Management/User Interface,,,,Alignment Meetings: September 2025 (Notes),,,,,,,,,,,,,,,,,,,,
"Full support for current research projects before self-service for public (data uploader, data processing, post-processing improvements of results, role management)",Alignment meetings slidedeck,34,"Full support for current research projects before self-service for public (data uploader, data processing, post-processing improvements of results, role management)",Feature Prioritization,,,,"Alignment Meetings: Topics for July 2025, Expectations for end of September 2025",,,,,,,,,,,,,,,,,,,,
Improving the results,Alignment meetings slidedeck,35,Improving the results,Data Processing/Quality,,,,Alignment Meetings: Topics for July 2025,,,,,,,,,,,,,,,,,,,,
Antenna workflow/requirements,Alignment meetings slidedeck,36,Antenna workflow/requirements,Workflow/Process,,,,Alignment Meetings: Topics for July 2025,,,,,,,,,,,,,,,,,,,,
Sustainability leadership and financial model,Alignment meetings slidedeck,37,Sustainability leadership and financial model,Business/Management,,,,Alignment Meetings: Topics for July 2025,,,,,,,,,,,,,,,,,,,,
Retrain the model for Totumas data?,Alignment meetings slidedeck,38,Retrain the model for Totumas data?,Machine Learning,,,,Alignment Meetings: Topics for July 2025,,,,,,,,,,,,,,,,,,,,
"Focus on “hardening” (stability, fixes, speed) Processing, fixing gaps in workflow",Alignment meetings slidedeck,39,"Focus on “hardening” (stability, fixes, speed) Processing, fixing gaps in workflow",Stability/Performance,,,,"Alignment Meetings: Topics for June 2025 p.1, Focus",,,,,,,,,,,,,,,,,,,,
Design stable & streamlined workflow: Get from “Cameras to moths” with few steps,Alignment meetings slidedeck,40,Design stable & streamlined workflow: Get from “Cameras to moths” with few steps,Workflow/Process,,,,"Alignment Meetings: Timeline for 2025, June",,,,,,,,,,,,,,,,,,,,
"Good defaults & presets - hiding noise, lower quality results",Alignment meetings slidedeck,41,"Good defaults & presets - hiding noise, lower quality results",User Interface/Data Filtering,,,,"Alignment Meetings: Timeline for 2025, June",,,,,,,,,,,,,,,,,,,,
"Embarrassing things (IDing smudges with high confidence, single subject images)",Alignment meetings slidedeck,42,"Embarrassing things (IDing smudges with high confidence, single subject images)",Quality/Machine Learning,,,,"Alignment Meetings: Timeline for 2025, June",,,,,,,,,,,,,,,,,,,,
Processing v2 & backend cleanup,Alignment meetings slidedeck,43,Processing v2 & backend cleanup,Data Processing/Stability,,,,"Alignment Meetings: Timeline for 2025, July",,,,,,,,,,,,,,,,,,,,
Improving quality of results - and what gets an ID at all,Alignment meetings slidedeck,44,Improving quality of results - and what gets an ID at all,Quality/Machine Learning,,,,"Alignment Meetings: Timeline for 2025, July",,,,,,,,,,,,,,,,,,,,
Improving stability (implement processing v2),Alignment meetings slidedeck,45,Improving stability (implement processing v2),Stability/Data Processing,,,,"Alignment Meetings: Timeline for 2025, July",,,,,,,,,,,,,,,,,,,,
Desktop data uploading tool,Alignment meetings slidedeck,46,Desktop data uploading tool,Data Management/User Interface,,,,"Alignment Meetings: Timeline for 2025, Aug",,,,,,,,,,,,,,,,,,,,
Ready for seamless live demonstrations,Alignment meetings slidedeck,47,Ready for seamless live demonstrations,User Interface/Demos,,,,"Alignment Meetings: Timeline for 2025, Sep",,,,,,,,,,,,,,,,,,,,
